Policy_Name,Policy_ID,Description,Duration
"LIC’s Bima Jyoti","Plan 860 / UIN 512N339V02","Non-linked, non-participating individual endowment savings plan with guaranteed additions.","Policy term 15–20 years; premium paying term generally equal to policy term."
"LIC’s Bima Ratna","Plan 864 / UIN 512N345V01","Non-linked, non-participating, individual, savings, money-back type endowment plan with guaranteed additions and survival benefits.","Policy term typically 15–20 years with limited premium paying term (varies by option)."
"LIC’s Dhan Sanchay","Plan 865 / UIN 512N346V01","Non-linked, non-participating, individual savings life insurance plan offering guaranteed income or lump-sum benefits.","Policy term options usually 10–20 years depending on variant."
"LIC’s New Endowment Plan","Plan 914 / UIN 512N277V02","Participating non-linked endowment plan providing savings with life cover and bonus participation.","Policy term usually 12–35 years depending on age at entry."
"LIC’s New Jeevan Anand","Plan 915 / UIN 512N279V02","Participating endowment plan combining savings with lifelong cover after maturity.","Policy term 15–35 years; life cover continues beyond term."
"LIC’s Single Premium Endowment Plan","Plan 917 / UIN 512N283V02","Single-premium, non-linked, participating endowment plan with lump-sum premium and maturity/death benefits.","Fixed policy terms commonly 10–25 years depending on age at entry."
"LIC’s Jeevan Lakshya","Plan 933 / UIN 512N297V02","Participating endowment plan with family income benefit and lump-sum at maturity.","Policy term 13–25 years with limited premium paying term."
"LIC’s Jeevan Labh","Plan 936 / UIN 512N304V02","Non-linked, participating limited premium endowment plan.","Policy term 16, 21, or 25 years; premium-paying term shorter than policy term."
"LIC’s Jeevan Umang","Plan 945 / UIN 512N312V02","Participating whole-life plus endowment plan providing income after premium-paying term.","Policy term up to age 100; premium term 15/20/25/30 years."
"LIC’s Dhan Rekha","Plan 863 / UIN 512N343V01","Non-linked, non-participating savings plan with guaranteed money-back benefits.","Policy terms 20, 30, or 40 years depending on option."
"LIC’s New Bima Bachat","Plan 916 / UIN 512N284V02","Single-premium, money-back plan with periodic survival benefits.","Policy terms 9, 12, or 15 years."
"LIC’s NEW MONEY BACK PLAN – 20 YEARS","Plan 920 / UIN 512N280V02","Participating money-back plan with periodic payouts.","Fixed 20-year policy term."
"LIC’s NEW MONEY BACK PLAN – 25 YEARS","Plan 921 / UIN 512N278V02","Participating 25-year money-back plan with recurring survival benefits.","Fixed 25-year term with premium to match."
"LIC’s NEW CHILDREN’S MONEY BACK PLAN","Plan 932 / UIN 512N296V02","Participating money-back plan for children.","Policy term up to 25 years."
"LIC’s Jeevan Tarun","Plan 934 / UIN 512N299V02","Participating children’s plan with education payouts.","Policy term up to 25 years with flexible payouts."
"LIC’s Jeevan Shiromani","Plan 947 / UIN 512N315V02","Non-linked participating money-back plan for high net-worth individuals.","Policy terms 14, 16, 18, or 20 years."
"LIC’s Bima Shree","Plan 948 / UIN 512N316V02","Non-linked participating limited premium money-back plan.","Policy terms 14–20 years depending on choice."
"LIC’s TECH TERM","Plan 854 / UIN 512N333V01","Online pure term plan with high cover at low premium.","Policy term 10–40 years; max age ~80 yrs."
"LIC’s Jeevan Amar","Plan 855 / UIN 512N332V01","Offline pure term plan with flexible benefit options.","Policy term 10–40 years; coverage up to ~80 yrs."
"LIC’s Saral Jeevan Bima","Plan 859 / UIN 512N341V01","Standardized simple term assurance plan.","Policy term 5–40 years; cover typically up to age 70."
"LIC’s Linked Accidental Death Benefit Rider","UIN 512A211V02","Unit-linked rider offering accidental death benefit.","Duration aligned to base plan."
"LIC’s Accidental Death and Disability Benefit Rider","UIN 512B209V02","Non-linked rider for accidental death & disability.","Aligned with base plan age rules."
"LIC’s Accident Benefit Rider","UIN 512B203V03","Traditional accidental death benefit rider.","Coverage during premium-paying term."
"LIC’s Premium Waiver Benefit Rider","UIN 512B204V03","Premium waiver rider for disability/death of proposer.","Matches remaining paying term."
"LIC’s New Critical Illness Benefit Rider","UIN 512A212V02","Critical illness lump-sum rider.","Term based on chosen plan variant."
"LIC’s NEW TERM ASSURANCE RIDER","UIN 512B210V01","Additional term assurance rider.","Matches base term or until max expiry age."
"LIC’s Premium Waiver Benefit Rider (With Auto Cover)","UIN 512B205V01","Premium waiver benefit with automatic cover.","Aligned with base policy premium term."
"LIC Index Plus","Unit-Linked Plan","ULIP offering life cover + market-linked returns.","Policy term 10–25 years."
"LIC Nivesh Plus","Unit-Linked Plan","Single premium ULIP with withdrawal flexibility.","Policy term 10–25 years."
"LIC Jeevan Umang (updated listing)","Whole-Life Plan","Updated whole-life version with income benefits.","Cover up to age ~100."
"LIC Jeevan Utsav","Whole-Life Insurance plan","Lifetime income and guaranteed additions plan.","Cover up to age 100; PPT 5–16 yrs."
"LIC New Pension Plus","Pension Plan","Unit-linked retirement accumulation product.","Policy term 10–42 years."
"LIC New Jeevan Shanti","Pension Plan","Single-premium annuity for life.","No fixed term; payout lifelong."
"LIC New Jeevan Anand (updated listing)","Endowment Plan","Updated edition of Jeevan Anand with bonuses.","Policy term 15–35 years."
"LIC New Jeevan Amar","Term Insurance","Pure term with level/increasing options.","Policy term 10–40 years."
"LIC Amritbaal","Endowment Plan","Children-focused long-term wealth plan.","Policy term 25 years."
"LIC Jeevan Labh (updated listing)","Endowment Plan","Limited premium endowment recommended in 2025.","Terms: 16, 21, or 25 years."
